云南-电信,#genre#
CCTV-音乐-画中画,http://171.213.175.149:1880/rtp/239.93.0.171:5140
CCTV-1-单音轨,http://171.213.175.149:1880/rtp/239.93.1.68:5140
CCTV-1杜比-单音轨,http://171.213.175.149:1880/rtp/239.93.1.87:5140
CCTV-5＋-单音轨,http://171.213.175.149:1880/rtp/239.93.1.79:5140
CGTN-画中画,http://171.213.175.149:1880/rtp/239.93.0.216:5140
CCTV-2-单音轨,http://171.213.175.149:1880/rtp/239.93.1.69:5140
四川卫视画中画,http://171.213.175.149:1880/rtp/239.93.0.128:5140
CDTV-1画中画,http://171.213.175.149:1880/rtp/239.93.1.58:5140
湖南卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.46:5140
江苏卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.45:5140
浙江卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.6:5140
东方卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.44:5140
北京卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.66:5140
深圳卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.21:5140
天津卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.134:5140
广东卫视画中画,http://171.213.175.149:1880/rtp/239.93.0.201:5140
山东卫视画中画,http://171.213.175.149:1880/rtp/239.93.0.229:5140
SCTV-2画中画,http://171.213.175.149:1880/rtp/239.93.1.62:5140
SCTV-3画中画,http://171.213.175.149:1880/rtp/239.93.1.211:5140
SCTV-4画中画,http://171.213.175.149:1880/rtp/239.93.1.139:5140
SCTV-5画中画,http://171.213.175.149:1880/rtp/239.93.1.254:5140
SCTV-6画中画,http://171.213.175.149:1880/rtp/239.93.1.140:5140
SCTV-7画中画,http://171.213.175.149:1880/rtp/239.93.1.145:5140
SCTV-科教画中画,http://171.213.175.149:1880/rtp/239.93.1.146:5140
SCTV-9画中画,http://171.213.175.149:1880/rtp/239.93.1.148:5140
峨眉电影-单音轨,http://171.213.175.149:1880/rtp/239.93.1.95:5140
康巴卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.149:5140
江西卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.19:5140
东南卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.201:5140
黑龙江卫视画中画,http://171.213.175.149:1880/rtp/239.93.0.231:5140
重庆卫视画中画,http://171.213.175.149:1880/rtp/239.93.0.119:5140
贵州卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.200:5140
湖北卫视画中画,http://171.213.175.149:1880/rtp/239.93.0.115:5140
安徽卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.166:5140
河北卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.202:5140
辽宁卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.167:5140
河南卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.169:5140
广西卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.203:5140
云南卫视画中画,http://171.213.175.149:1880/rtp/239.93.1.168:5140
